recipe_id,recipe_name,category,area,country,ingredient_names,ingredient_measures,ingredient_count,source_url,youtube_url,thumbnail_url,mealdb_url,fetched_at
mealdb#52827,Massaman Beef curry,Beef,Thai,Thailand,Peanuts|Coconut cream|Massaman curry paste|Beef|Potatoes|Onion|Lime|Cinnamon stick|Tamarind paste|Brown sugar|Fish Sauce|chilli|Jasmine Rice,"85g|400ml can|4 tbsp|600g stewing cut into strips|450g waxy|1 cut thin wedges|4 leaves|1|1 tbsp|1 tbsp palm or soft light|1 tbsp|1 red deseeded and finely sliced, to serve|to serve",13,https://www.bbcgoodfood.com/recipes/420631/beef-massaman-curry,https://www.youtube.com/watch?v=mVxgZSCU9_g,https://www.themealdb.com/images/media/meals/tvttqv1504640475.jpg,https://www.themealdb.com/meal/52827,2026-08-10T01:05:06Z
mealdb#52774,Pad See Ew,Chicken,Thai,Thailand,rice stick noodles|dark soy sauce|oyster sauce|soy sauce|white vinegar|sugar|water|peanut oil|garlic|Chicken|Egg|Chinese broccoli,6oz/180g|2 tbsp|2 tbsp|2 tsp|2 tsp|2 tsp|2 tbsp|2 tbsp|2 cloves|1 cup|1|4 cups,12,,https://www.youtube.com/watch?v=Ohy1DELF4is,https://www.themealdb.com/images/media/meals/uuuspp1468263334.jpg,https://www.themealdb.com/meal/52774,2026-08-10T01:05:06Z
mealdb#53191,Pad Thai,Seafood,Thai,Thailand,Rice Noodles|Lime|Cayenne Pepper|Muscovado Sugar|Fish Sauce|Vegetable Oil|Tiger Prawns|Spring Onions|Bean Sprouts|Peanuts|Coriander|Lime|sweet chilli sauce,125g|Juice of 3|1/2 teaspoon|2 teaspoons|2 tablespoons|2 tablespoons|200g|4 finely sliced|140g|25g|Handful|2|To serve,13,https://www.bbcgoodfood.com/recipes/easy-pad-thai,https://www.youtube.com/watch?v=F86GfZIph8o,https://www.themealdb.com/images/media/meals/rg9ze01763479093.jpg,https://www.themealdb.com/meal/53191,2026-08-10T01:05:06Z
mealdb#53192,Panang chicken curry (kaeng panang gai),Chicken,Thai,Thailand,Coconut Milk|Panang Curry Paste|Chicken Breast|Green Beans|Fish Sauce|Brown Sugar|makrut lime leaves|Basil Leaves|Jasmine Rice|Red Chilli|Dried Red Chillies|Shrimp Paste|Garlic|Galangal|Lemongrass|Lime|Ground Nutmeg|Ground Coriander|Ground Cumin|Peanuts,400ml|1-2tbsp|200g|100g|2-3 tbsp|1-2tbsp|2|Handful|Boiled|6|4|1 teaspoon|4 Cloves Chopped|1 tblsp|1 tblsp|Zest of 2|1 teaspoon|1 tsp|1 teaspoon|2 tblsp,20,https://www.bbcgoodfood.com/recipes/panang-chicken-curry-kaeng-panang-gai,https://www.youtube.com/watch?v=dYZHzK7YfYI,https://www.themealdb.com/images/media/meals/0dhtwr1763371444.jpg,https://www.themealdb.com/meal/53192,2026-08-10T01:05:06Z
mealdb#53200,Prawn stir-fry,Seafood,Thai,Thailand,Raw tiger prawns|Green Chilli|Garlic|Coriander|Caster Sugar|Lime|Fish Sauce|Ground Nut Oil|Ginger|Spring Onions|Red Pepper|Water Chestnut|Bean Sprouts|Soy Sauce|Rice Noodles|Lime,200g|1 chopped|3 Cloves Crushed|1 bunch|1 tblsp|Juice of 1|3 tbsp|2 tablespoons|3cm piece|8 slices|1 sliced|85g|100g|1 tablespoon|To serve|To serve,16,https://www.bbcgoodfood.com/recipes/thai-prawn-ginger-spring-onion-stir-fry,https://www.youtube.com/watch?v=DddM8OGb4Jc,https://www.themealdb.com/images/media/meals/96lt871763480970.jpg,https://www.themealdb.com/meal/53200,2026-08-10T01:05:06Z
mealdb#53204,Red curry chicken kebabs,Chicken,Thai,Thailand,Chicken Breasts|Thai Red Curry Paste|Coconut Milk|Red Pepper|Courgettes|Red Onions|Lime,2|2 tblsp|2 tblsp|1 chopped|1 chopped|1 cut thin wedges|To serve,7,https://www.bbcgoodfood.com/recipes/red-curry-chicken-kebabs,https://www.youtube.com/watch?v=XJscdFRT8_8,https://www.themealdb.com/images/media/meals/prjve31763486864.jpg,https://www.themealdb.com/meal/53204,2026-08-10T01:05:06Z
mealdb#53209,Spicy Thai prawn noodles,Seafood,Thai,Thailand,Rice Noodles|Sesame Seed Oil|Egg|Red Chilli|Ginger|Prawns|Soy Sauce|Coriander|Mint|Lime|Peanuts,200g|1 tablespoon|2 Beaten|1 chopped|3cm piece|450g|1 tablespoon|Bunch|1/2 handful|Zest and juice of 1|Handful,11,https://www.bbcgoodfood.com/recipes/spicy-thai-prawn-noodles,,https://www.themealdb.com/images/media/meals/568t931763584227.jpg,https://www.themealdb.com/meal/53209,2026-08-10T01:05:06Z
mealdb#53201,Stir-fried chicken with chillies & basil,Chicken,Thai,Thailand,Vegetable Oil|Chicken|Garlic|Shallots|Red Chilli|Fish Sauce|Soy Sauce|Sugar|Basil Leaves,2 tablespoons|450g|3 tblsp chopped|3 tblsp chopped|3|2 tablespoons|2 tsp|2 tsp|Handful,9,https://www.bbcgoodfood.com/recipes/ken-homs-stir-fried-chicken-chillies-basil,https://www.youtube.com/watch?v=fF4GpyiZL8Q,https://www.themealdb.com/images/media/meals/el64dy1763483009.jpg,https://www.themealdb.com/meal/53201,2026-08-10T01:05:06Z
mealdb#53199,Thai beef stir-fry,Beef,Thai,Thailand,Vegetable Oil|Beef|Red Chilli|Oyster Sauce|Basil Leaves,2 tbsp|400g|1 sliced|2 tblsp|Handful,5,https://www.bbcgoodfood.com/recipes/thai-beef-stir-fry,https://www.youtube.com/watch?v=N3OI_7zu5sA,https://www.themealdb.com/images/media/meals/kyuxew1763479470.jpg,https://www.themealdb.com/meal/53199,2026-08-10T01:05:06Z
mealdb#53206,Thai chicken cakes with sweet chilli sauce,Chicken,Thai,Thailand,Chicken Breast|Garlic|Ginger|Onion|Coriander|Green Chilli|Olive Oil|sweet chilli sauce|Lime|Spring Onions|Red Chilli,2 large|1 clove|1 small|1 chopped|4 tbs|1 chopped|2 tblsp|To serve|To serve|Chopped|Chopped,11,https://www.bbcgoodfood.com/recipes/thai-chicken-cakes-sweet-chilli-sauce,https://www.youtube.com/watch?v=pT0WoqUZXw0,https://www.themealdb.com/images/media/meals/6s3i3p1763488540.jpg,https://www.themealdb.com/meal/53206,2026-08-10T01:05:06Z
