primary_key,store_id,store_name,chain,region,product_id,product_name,brand,size,price,category
new_world_newmarket_5046562-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046562-EA-000,NZ Celery,,ea,3.69,Fresh Vegetables
new_world_newmarket_5046440-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046440-EA-000,Fresh Cut Lettuce,,ea,2.89,Fresh Vegetables
new_world_newmarket_5039990-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5039990-EA-000,Bagged Iceberg Lettuce,,ea,3.99,Fresh Vegetables
new_world_newmarket_5303544-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5303544-EA-000,Baby Cos Lettuce,Pams,2pk,3.49,Fresh Vegetables
new_world_newmarket_5040462-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040462-EA-000,Baby Leaf Lettuce,Pams,100g,4.29,Fresh Vegetables
new_world_newmarket_5040461-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040461-EA-000,Baby Cos Lettuce,Pams Fresh,120g,4.49,Fresh Vegetables
new_world_newmarket_5028889-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5028889-EA-000,Telegraph Cucumber,,ea,3.49,Fresh Vegetables
new_world_newmarket_5046503-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046503-EA-000,Red Capsicum,,ea,3.99,Fresh Vegetables
new_world_newmarket_5046504-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046504-EA-000,Yellow Capsicum,,ea,4.49,Fresh Vegetables
new_world_newmarket_5046533-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046533-KGM-000,White Button Mushrooms,,kg,12.99,Fresh Vegetables
new_world_newmarket_5326590-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5326590-EA-000,White Button Mushrooms,Pams,400g,4.99,Fresh Vegetables
new_world_newmarket_5294812-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5294812-EA-000,White Button Mushrooms,Meadow Mushrooms,200g,4.89,Fresh Vegetables
new_world_newmarket_5047091-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5047091-EA-000,Swiss Brown Mushrooms,,200g,4.89,Fresh Vegetables
new_world_newmarket_5326591-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5326591-EA-000,Swiss Brown Button Mushrooms,Pams,400g,4.99,Fresh Vegetables
new_world_newmarket_5046505-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046505-EA-000,Green Capsicum,,ea,4.19,Fresh Vegetables
new_world_newmarket_5046525-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046525-KGM-000,Royal Gala Apples,,kg,4.49,Fresh Fruit
new_world_newmarket_5045864-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5045864-KGM-000,Rose Apples,,kg,5.49,Fresh Fruit
new_world_newmarket_5039945-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5039945-KGM-000,Granny Smith Apples,,kg,4.89,Fresh Fruit
new_world_newmarket_5040702-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040702-EA-000,Royal Gala Apples,Yummy Fruit,1.5kg,7.79,Fresh Fruit
new_world_newmarket_5040539-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040539-EA-000,Jazz Apples,,1.5kg,7.99,Fresh Fruit
new_world_newmarket_5046542-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046542-KGM-000,Bananas,,kg,3.79,Fresh Fruit
new_world_newmarket_5040730-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040730-EA-000,Fairtrade Bananas,,1pk,4.99,Fresh Fruit
new_world_newmarket_5205142-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5205142-EA-000,Spinach Apple Blueberry & Banana Vege Fruit Sticks,Mother Earth,152g,3.89,Fresh Fruit
new_world_newmarket_5335014-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5335014-EA-000,Bananas,Lifesavers,130g,3.79,Fresh Fruit
new_world_newmarket_5018092-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5018092-EA-000,Banana Berries & Yoghurt Brekkie 8+ Months,Only Organic,120g,2.29,"Cheese, Butter & Yoghurt"
new_world_newmarket_5046549-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046549-KGM-000,Navel Oranges NZ,,kg,4.49,Fresh Fruit
new_world_newmarket_5040012-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040012-EA-000,Navel Oranges,Pams,1.5kg,6.99,Fresh Fruit
new_world_newmarket_5046611-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046611-KGM-000,Navel Oranges Imported,,kg,4.99,Fresh Fruit
new_world_newmarket_5040011-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040011-KGM-000,Orange Kumara,,kg,5.49,Fresh Fruit
new_world_newmarket_5046917-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046917-KGM-000,Imported Mandarins,,kg,5.49,Fresh Fruit
new_world_newmarket_5046477-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046477-KGM-000,Lemons,,kg,4.99,Fresh Fruit
new_world_newmarket_5203150-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5203150-EA-000,Lemon Baking Juice,Pams,250ml,2.39,Fresh Fruit
new_world_newmarket_5031941-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5031941-EA-000,Lemon Honey Ginger Fruit Juice,The Homegrown Juice Company,1l,5.39,"Breakfast Cereals, Oats & Spreads"
new_world_newmarket_5345885-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5345885-EA-000,Rocketslaw Salad with Creamy Lemon Mayonnaise,Salad,350g,6.19,Fresh Fruit
new_world_newmarket_5200565-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5200565-EA-000,Lemon Drizzle Squares,Fibre One,5 x 24g,5.89,Fresh Fruit
new_world_newmarket_5312786-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5312786-EA-000,Mixed Berry,Fruzio,750g,11.49,Fresh Fruit
new_world_newmarket_5004944-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5004944-EA-000,Mixed Berries,Pams,500g,7.39,Fresh Fruit
