primary_key,store_id,store_name,product_id,product_name,brand,size,price,category
new_world_5014012-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5014012-EA-000,Decaf Organic Fair Trade Plunger Coffee,Hummingbird,100g,12.59,Coffee
new_world_5236654-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5236654-EA-000,Cafe Style Hazelnut Latte Coffee Sticks,Avalanche,ea,6.99,Coffee
new_world_5029035-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5029035-EA-000,5 Extra Strong Coffee Bags,Jed's Coffee Co.,ea,10.79,Coffee
new_world_5044786-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5044786-EA-000,Organic Plunger Coffee,Karajoz,100g,10.49,Coffee
new_world_5139207-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5139207-EA-000,Crave Organic Fair Trade Coffee Beans,Hummingbird,100g,53.79,Coffee
new_world_5013131-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5013131-EA-000,Sweet Dreams Tea Bags,Red Seal,ea,3.59,Tea
new_world_5038233-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5038233-EA-000,Raspberry & Strawberry Tea Bags,Red Seal,ea,3.99,Tea
new_world_5011100-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5011100-EA-000,Raspberry Ice Tea,Lipton,1L,5.49,Tea
new_world_5218279-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5218279-EA-000,Superfruits Tea Bags,Red Seal,ea,3.99,Tea
new_world_5005162-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5005162-EA-000,Green Tea Bags,Red Seal,100,5.39,Tea
new_world_5045168-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5045168-EA-000,Genmai Green Tea Bags,Genmaicha,100g,5.09,Tea
new_world_5329119-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5329119-EA-000,Dilmah Green Teabags Cinnamon & Turmeric 20s 30g,Dilmah,ea,4.29,Tea
new_world_5310260-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5310260-EA-000,No Sugar Lemon Iced Tea,Lipton,1L,5.49,Tea
new_world_5289765-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5289765-EA-000,Pure Green Tea Bags,Healtheries,ea,4.79,Health Care
