primary_key,store_id,store_name,product_id,product_name,brand,size,price,category
pakn_save_5085333-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5085333-EA-000,Smooth Peanut Butter,Fix & Fogg,375g,4.49,"Jams, Honey & Spreads"
pakn_save_5003815-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5003815-EA-000,Smooth Peanut Butter,Pams,1kg,4.99,"Jams, Honey & Spreads"
pakn_save_5085331-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5085331-EA-000,Super Crunchy Peanut Butter,Fix & Fogg,375g,4.49,"Jams, Honey & Spreads"
pakn_save_5004911-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5004911-EA-000,Crunchy Peanut Butter,Pams,375g,1.49,"Jams, Honey & Spreads"
pakn_save_5003862-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5003862-EA-000,Strawberry Jam,Pams,450g,2.49,"Jams, Honey & Spreads"
pakn_save_5003832-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5003832-EA-000,Raspberry Jam,Pams,450g,2.49,"Jams, Honey & Spreads"
pakn_save_5001295-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5001295-EA-000,Raspberry Fruit Jam,Craig's,375g,3.29,"Jams, Honey & Spreads"
pakn_save_5001303-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5001303-EA-000,Strawberry Fruit Jam,Craig's,375g,3.29,"Jams, Honey & Spreads"
pakn_save_5328522-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5328522-EA-000,Mixed Berries Jam,Pams,450g,2.49,"Jams, Honey & Spreads"
pakn_save_5012874-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5012874-EA-000,Granulated Instant Coffee,Special Blend,90g,2.99,Coffee
pakn_save_5010068-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5010068-EA-000,Instant Coffee,Special Blend,90g,2.99,Coffee
pakn_save_5034510-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5034510-EA-000,Classic Medium Roast Instant Coffee Refill,Moccona,90g,7.79,Coffee
pakn_save_5206293-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5206293-EA-000,Instant Coffee Powder,Value,90g,2.59,Coffee
pakn_save_5036448-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5036448-EA-000,Original Instant Coffee,Nescafe,180g,10.99,Coffee
pakn_save_5002523-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5002523-EA-000,Original Black Tea Bags,Bell,30pk,2.19,Tea
pakn_save_5001735-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5001735-EA-000,Premium Biodegrabable Tea Bags,Dilmah,100pk,5.29,Tea
pakn_save_5002531-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5002531-EA-000,Original Black Tea Bags,Bell,100pk,6.39,Tea
pakn_save_5002522-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5002522-EA-000,Original Black Tea Bags,Bell,60pk,3.89,Tea
pakn_save_5001736-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5001736-EA-000,Premium Biodegradable Tea Bags,Dilmah,30pk,2.89,Tea
